"浙江气象爱好者    ",2017-12-31 23:55,台风追击今年台风季共诞生27个台风，经历了五次台风活跃期。首台梅花诞生于4月下旬，我国台风登陆季开始于6月中旬，结束于10月中旬，纳沙海棠共同登陆福建福清，奥鹿成为位居第二长寿的台风，也是今年唯一的C5级台风，天鸽帕卡玛娃接连袭击广东中部，今年也是南海热带气旋出现最多的一年，风王为超大型台风兰恩，今年台风季相对较弱，菲律宾登陆的台风数量创下新低，对华南和越南的影响大。2017年西北太平洋台风季就此宣告结束！让我们一起等待2018年台风季的到来，见证这片海洋在来年的风起云涌吧！,台风梅花
"多味生活会馆    ",2017-12-30 09:20,今年首个台风“梅花”要来了！宁波的五一小长假会被影响吗？！同步自新浪看点|今年首个台... ​,台风梅花
"霜林醉月198505    ",2017-12-18 07:18,今天深圳寒气袭人，气温在十度以下。冒着凛冽刺骨寒风去上学的学子，将来必有成才之望！因为：宝剑峰从磨砺出，梅花香自苦寒来！启德台风寒潮南下，南方人经历了一场严寒考验。连海南一年四季皆是厦天的得天独厚的地方，气温最低降到七度！海南人早晨起来上学上班的人，也只说一个字冷、冷、冷！告别多年的寒衣也穿上了身。 |深圳,台风梅花
"Elyn2017    ",2017-10-15 22:41,入秋 台风来袭 凉风吹的肚子疼  梅花灸暖上[呲牙]高跷走的双脚疼  风火轮放松放松[呲牙]家里有艾 就是方便... Elyn2017的... ​,台风梅花
"dkug987    ",2017-10-15 00:14,台风梅花小蓝帽酸奶来了台风梅花 台风又来了，今年几次了哈真是蓐狗 ​,台风梅花
"灰色幽默cw0    ",2017-9-14 14:12,我给台风起名字旭日东升暖寒凉，梅花三弄正芬芳。油炸水煮喷喷香，瓜子零食嘴很忙。霞映雪霜近夕阳，烟花爆竹呈吉祥。蛇年元旦送安康，平安久久健康长。祝你事事如意，元旦大吉！ ​,台风梅花
"佩服挖掘寂寥    ",2017-9-14 13:47,我给台风起名字于雪融冰澌的声音里 等梅花的消息 归家的车声辘辘 ​,台风梅花
"Susino_梅花伞    ",2017-9-14 10:37,近日台风频繁，在这个时候需要susino梅花伞的一把好评如潮、耐用、大伞面的长柄伞！带出门帅气，撑开来安全！|梅花susino... ​,台风梅花
"用户2407495552    ",2017-9-1 16:24,发表了博文《台风登陆蓬莱，12级大风吹出150吨海白菜，价值达210万元》山东蓬莱台风登陆，海浪遮天盖日、惊涛拍岸。梅花九号台风每年8月份都要从青岛、烟台、威海一路吹过这里，浪高达7米，风力12级，好|台风登陆蓬... ​,台风梅花
"Susino_梅花伞    ",2017-8-27 13:30,七夕 这个七夕有…台风！！susino梅花伞陪你度过大风大雨，妥妥的！网页链接 ​,台风梅花
"辽宁交通    ",2017-8-16 19:37,辽宁交通 微博故事:互联网改变生活惠及百姓记得2011年8月7日晚，台风“梅花”席卷辽宁，局部出现暴雨或大暴雨，最大降雨量达267.5毫米，营口盖州发生洪灾。8日早，本微博收到网友求救:“我们在小石棚乡杨树房村南面地里的房顶上，电话线断了，手机信号断断续续，如果接到请快救我们， 我们5个人。 ”辽宁交通 微博接到求救仅五分钟，就将这紧急求救信息转给了在盖州小石棚乡一线的副厅长。经过联系，抢险救援人员用冲锋舟找到了农田里的这五人。我们感谢互联网，是互联网在一次次的自然灾害面前大显身手，托起了一次次救助生命的方舟！盼望不受地域限制，利用卫星直接联通互联网的时代早日到来！,台风梅花
"等葡萄长大    ",2017-8-5 14:00,也是这样一个8月的天，也是一场台风，一场暴雨，那次台风叫“梅花”，来的更为凶猛，那年我还在大二暑假。留住学校暑假兼职，你也在做暑假工，早上醒来感冒发烧的厉害，学校餐厅医院都不营业，在学校吃饭都是问题，这样的天气，也没法让舍友跑很远去市场拿药…突然你给我打电话，让我到楼下，很惊奇的发现你拎着一包药，一兜吃的，浑身湿漉漉的，头发一溜一溜的，心疼的我你怎么也不打伞…这样的天拿了伞也是白拿…校园里树枝满地，一片狼藉，能想象出这场台风的凶猛…回到宿舍，吃了药，包里有玉米和面包，烟大市场泥泞的小路，你该转了很久才买到的吧！青涩的年纪，那是我第一次爱上面包。前男友不怀念，也不回忆，只是突然记起，仅此而已。,台风梅花
"长乐广播    ",2017-7-30 06:15,【长乐各乡镇做好防御台风工作】梅花镇48艘渔船已全部入港避风，船上人员168人已全部撤离上岸，同时继续做好安全监管，防止渔船返回作业。做好危险地带人员转移工作，截至29日下午5点，该镇危险地带20人已全部转移。潭头边防所出动警力23人次，巡查港口、码头等重点部位13处，转移低洼人员28人，协助渔民加固避风船只36艘，发放宣传单200余份。猴屿乡落实24小时值班，关闭旅游景点，巡查水利设施，安排专人值守，观察水位变化，转移地质灾害点、危房和临时工棚等危险地带群众。福建新闻广播fm1036,台风梅花
"惠州那些事    ",2017-7-28 00:07,惠州天气 今年第1号台风梅花（热带风暴级，英文名：Muifa；名字来源：中国澳门；名字意义：一种花）于26日上午在菲律宾以东的西北太平洋上生成。预计“梅花”将以每小时12公里左右的速度向西北方向移动，强度变化不大。27日以后将转向东北方向，强度逐渐减弱，并变性为温带气旋，未来对我国无影响。via中央气象台,台风梅花
"秀波立周壹    ",2017-6-18 06:52,从哲学上说:苦行就是一种净化灵魂的手段。没有寒冬飞雪吻，梅花断魂消香融。净化海水少污染，赤潮台风几能逢？难道古代圣人是愚惷之极吗？竭泽而渔的人类，最终苦极的报应是失去了生存的资源！地球火星如炼狱，请问人类怎生存？原始圣贤的理论是唯物的，但很难改变人的私欲观念，以唯心面世也是一种善巧方便！,台风梅花
"用户embp7k5y0p    ",2017-6-15 22:28,"围炉音乐会到这里就可以看到大草原纷飞的样子了,上回去北海因为台风没有上涠洲岛，找时间再去过,,,亚丁很美梅花鹿有没有？我想去看看,要说三遍，重要的事情就说三遍,从现在开始，不想多说什么了, ​",台风梅花
"寻找小小    ",2017-6-15 18:49,第1701号台风“梅花”MUIFA路径信息 网页链接 ​,台风梅花
"南方网    ",2017-6-13 16:05,【初台登陆：广东为啥老“中枪”？】2017年第一号台风“梅花”于4月26日生成，“苗柏”是今年生成的第二号台风，并成为今年我省乃至我国首个登陆台风，较常年初台登陆日期（6月27日）偏早。初台为何偏爱广东？第一个是广东本身海岸线比较长，第二个是有利的大气环流形势引导台风奔向华南。|初台登陆：...,台风梅花
"国网福建电力    ",2017-6-13 09:45,【趣谈台风名】这个夏天的“初台”即将登陆。人们谈“风”而色变，但奇怪的是，每个台风都有个好听的名字，如悟空、玉兔、蝴蝶、电母、梅花、珊珊等……那么，台风是如何来命名的呢？又是如何被除名的？戳图涨姿势↓↓ ​,台风梅花
"玩转深圳圈    ",2017-6-12 21:20,【趣谈台风名】人们谈“风”而色变，但奇怪的是，每个台风都有个好听的名字，如悟空、玉兔、蝴蝶、电母、梅花、珊珊等……那么，台风是如何来命名的呢？又是如何被除名的？戳图涨姿势↓↓（中国气象科普网） ​​​​,台风梅花
"南国都市报    ",2017-6-12 16:30,【趣谈台风名[台风]】人们谈“风”而色变，但奇怪的是，每个台风都有个好听的名字，如悟空、玉兔、蝴蝶、电母、梅花、珊珊等……那么，台风是如何来命名的呢？又是如何被除名的？戳图涨姿势↓↓（中国气象科普网 ） ​​​​,台风梅花
"深圳特区报    ",2017-6-12 15:56,【趣谈台风名[台风]】人们谈“风”而色变，但奇怪的是，每个台风都有个好听的名字，如悟空、玉兔、蝴蝶、电母、梅花、珊珊等……那么，台风是如何来命名的呢？又是如何被除名的？戳图涨姿势↓↓（中国气象科普网 ） ​,台风梅花
"福州电视台移动频道    ",2017-6-12 11:41,【2号台风“苗柏”将于12日傍晚到夜间在珠海到汕头一带沿海登陆】登陆时强度仍将为热带风暴级或强热带风暴级（910级，2325米秒），登陆后在广东境内逐渐减弱消失。今年的1号台风“梅花”并未在我国登陆，“苗柏”成了首个破解登陆密码的台风。防患于未然，傍晚没要事早点回家哦~~~[bm路过]（via福州气象）,台风梅花
"衢山岛热门话题    ",2017-6-12 09:25,台风1号台风梅花还很远，基本不会影响中国。2号台风苗柏即将登陆广东，可能会转向东北方向。 ​,台风梅花
"福州气象    ",2017-6-12 09:23,福州生活2号台风苗柏 【2号台风“苗柏”将于12日傍晚到夜间在珠海到汕头一带沿海登陆】登陆时强度仍将为热带风暴级或强热带风暴级（910级，2325米秒），登陆后在广东境内逐渐减弱消失。今年的1号台风“梅花”并未在我国登陆，“苗柏”成了首个破解登陆密码的台风回顾去年（2016）首个登陆我国的台风，1号台风“尼伯特”，也是首个登陆福建的台风，来势凶猛，影响巨大，2016年的7月9日“尼伯特”登陆前后是否让你记忆犹新、印象深刻，来！与气象君分享下你的记忆，有图更好哦,台风梅花
"浙江气象爱好者    ",2017-6-9 20:53,台风追击  四月梅花凋谢后， 五月的西北太平洋低纬地区被副高控制着又是一片沉寂，6月开始随着东北冷涡东移，副高有所加强北抬，给低纬地区腾出空间，菲律宾东南地区就现出一扰动96W，根据机构预报，未来将向西北方向移动，趋向华南地区，可能成为今年第二号台风“苗柏”，也可能就以热带低压登陆或影响华南地区。,台风梅花
"boyyan1221    ",2017-6-1 22:51,"围炉音乐会不知道有美女回不回出现在我视野里,上回去北海因为台风没有上涠洲岛，找时间再去过,,,亚丁很美梅花鹿有没有？我想去看看,哪里都一样，看自己心情是否好了,我想去很远很远的内蒙古看美丽的北方姑娘,主要就是一年一点的去赔了算了, ​",台风梅花
